# Items for Tendrils																				
#0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
#Name	Comment	Level	Slot 	Cost	Classes	DamDieCount	DamDie	DamBonus	ToHit	AC	HP	MP	STR	DEX	CON	INT	WIS	CHA	Perks	UniqueFlag
#HeadFighter67	#HeadFighter67	"6,7"	2		F					5					1					
Feather Cap	HeadCleric67	"6,7"	2		FCBN					3							1		Resist Fire	
#HeadMage67	#HeadMage67	"6,7"	2		FCBNMS					3										
Gold Helmet	HeadSpecialFighter6	6	2		F					5						1			"Resist Fire, Poison Immune"	1


Grand Helmet	#HeadFighter67	"7,8"	2		F					6			1		1					
Genji Helmet	HeadCleric67	"7,8"	2		FCBN					5				1			1	1		
X-ray Goggles	HeadMage7	7	2		FCBNMS					0									X-ray Vision	
Acacia Hat	HeadSpecialCleric7	7	2		FCBNMS					5							1		X-ray Vision	1


Visor Helm	HeadFighter89	"8,9"	2		F				-2	8	15				2					
Circlet	HeadCleric89	"8,9"	2		FCBN					6		15				1	2			
Cachusa	HeadMage89	8	2		FCBNMS					4									Silence Immune	
Crown of Command	HeadSpecialMage8	8	2		FCBN					6										1

Battle Helmet	HeadFighter910	"9,10"	2		F					10			1	1	1					
Bandana	HeadCleric910	"9,10"	2		FCBN					7					1		1	1		
#HeadMage910	HeadMage910	"9,10"	2		FCBNMS					0										
Mister Angry Eyes	HeadSpecialFighter9	9	2		F					12			4		1					1

Diamond Helm	HeadFighter0	10	2		F					12	100		2	1	1				Stoning Immune	
Crystal Helmet	HeadCleric10	10	2		FCBN					10	75				3					
#HeadMage10	HeadMage10	10	2		FCBNMS					0										
Mantra Band	HeadSpecialCleric10	10	2		FCBN					10	50	50				3	3		X-ray Vision	1



###############################################################################################																				
#Feet																				
Boots	FeetFighter12	"1,2"	4		F					1										

Blue Boots	FeetMage23	"2,3"	4		FCBNMS					2								-1	Resist Ice	
Germinas	FeetFighter23	"2,3"	4		F			1	-1	3				-1						
Galmia Shoes	FeetSpecialCleric2	2	4		CBN				1	2				1						1

Caligula	FeetFighter34	"3,4"	4		F					3				1						
Battle Boots	FeetCleric34	"3,4"	4		FCBN					2										
Speed Boots	FeetSpecialFighter3	3	4		F				 	 				 					Haste	1

Feather Boots	FeetMage45	"4,5"	4		FCBNMS					1									Recovery	
Fairy Shoes	FeetSpecialMage4	4	4		MS			2	 	 				 					Paralysis Immune	1

Fireproof Boots	FeetFighter56	"5,6"	4		F					4									Resist Fire	
Flippers	FeetCleric56	"5,6"	4		FCBN					3										
Weed Walkers	FeetMage56	"5,6"	4		FCBNMS					1									Poison Immune	
Ninja Tabi	FeetSpecialCleric5	5	4		FBN					3									"Sleep Immune, Paralysis Immune, Silence Immune"	1

Healing Boots	FeetFighter67	"6,7"	4		F					1				1					Regen	
Anklet	FeetCleric67	"6,7"	4		FCBN				1	4										
#FeetMage67	FeetMage67	"6,7"	4		FCBNMS					2				1						
Dash Shoes	FeetSpecialFighter6	6	4		F					2			1	1	1	1	1	1	Haste	1

#FeetFighter78	FeetFighter78	"7,8"	4		F					5				1						
#FeetCleric78	FeetCleric78	"7,8"	4		FCBN					4										
Hermes Sandals	FeetMage78	"7,8"	4		FCBNMS					2				3						
Winged Boots	FeetSpecialMage7	7	4		FCBNMS					2										1

#FeetFighter89	FeetFighter89	"8,9"	4		F					5										
Snow Spikes	FeetCleric89	"8,9"	4		FCBN				1	4					1				Resist Cold	
#FeetMage89	FeetMage89	"8,9"	4		FCBNMS					2										
#FeetSpecialCleric8	FeetSpecialCleric8	8	4		FCBN					2										1

Desert Boots	FeetFighter910	"9,10"	4		F					5									"Resist Fire, Resist Cold"	
#FeetCleric910	FeetCleric910	"9,10"	4		FCBN					4										
#FeetMage910	FeetMage910	"9,10"	4		FCBNMS					2										
#FeetSpecialFighter9	FeetSpecialFighter9	9	4		F					2										1


#FeetFighter10	FeetFighter10	10	4		F					5										
#FeetCleric910	FeetCleric10	10	4		FCBN				1	4										
Spike Boots	FeetMage10	10	4		FCBNMS			80	5	2				3	3			2		
#FeetSpecialFighter9	FeetSpecialMage10	10	4		FCBNMS					2										1





##########################################################################################################																				
#Relics																				
Pendant of Bub		2	5		FCMSBN					2	25		1	1						1
Pendant of Bob		2	5		FCMSBN					2		10				1	1			1

Phial of Galadriel		2	5		FCMSBN				1		1	1								

Regen Ring		"6,7,8,9,10"	5		FCMSBN														Regen	
Ring of Haste		"3,4,5,6,7,8,9,10,11,12,13"	5		FCMSBN														Haste	
Amulet of Yendor		5	5		FCMSBN					3			1		2	1	1		Recovery	1
Amulet		"4,5,6"	5		FCMSBN					3					1					
Ring of Hydlide		"7,8,9"	5		FCMSBN					6					2				Recovery	
Ring of Heroism		"10,11,12"	5		FCMSBN					9					3				Recovery	
Blue Ring		"3,4,5"	5		FCBN			1		2	20									
Red Ring		"8,9,10"	5		FCBN			2		4	40								Recovery	
Scarab		"4,5,6,7"	5		C										2		2			
Infinity Loop		"11,12,13"	5		FCMSBN														"Regen,Recovery,Haste"	
Gold Ring		4	5		MS											1	1		Silence Immune	
Ring of Prandur		5	5		B													2		1

#Cape		1	2	10	FCMSBN					2									Regen	
#Dash Boots		3	4	50	FCMSBN					3				1					Haste	
#Death's Sickle		5	0		N	2	6													
#Flippers		3	4		FCMSBN					5										
#Glove		1	3		FCMSBN					1										
#Helmet		1	1		FCMSBN					1										
#Hyper Armor		10	2		F					50	15	5	1			
#Magic Book		1	0		FCBN	1	4									1
#Wooden Boomerang		1	0		FCBN	1	6		1							
#Magic Boomerang		5	0		FCBN	1	6		2							
#Magic Shield		3	3		FB					10						
#Master Sword		35	0		F	2	6	10	5							
#Power Glove		10	3		FCBN					1			2			
#Titan's Mitt		35	3		FCBN					10			5			
#Tunic		1	2		FCMSBN					5						
#Whip		1	0		FCBN	1	6		1							
#Axe		20	0		F	1	8	3								


###############################################################################################																
# Supplies																
# Elixir is found only in chests.																
Potion		"1,2,3,4"		50	FCMSBN															2
Hi-Potion		"4,5,6,7,8"		2000	FCMSBN															2
X-Potion		"8,9,10"		2000	FCMSBN															2
Antidote		"1,2,3,4,5,6,7,8,9,10"		100	FCMSBN															2
Flute		"5,6,7,8,9,10"		100	FCMSBN															2
Black Coffee		"3,4,5,6,7,8,9,10"		100	FCMSBN															2
Medusa Scale		"7,8,9,10"		2000	FCMSBN															2
Remedy		"8,9,10"		2500	FCMSBN															2
Phoenix Down		"3,6,9"		5000	FCMSBN															2
Ether		"2,4,6,8,10"		10000	FCMSBN															2
Elixir		0		500000	FCMSBN															2
Escapipe		"3,4,6,7,9"		50	FCMSBN															2
Compass		"4,5,6,9,10"		2000	FCMSBN															
###############################################################################################																				
